game_pk,game_date,index,startTime,endTime,isPitch,type,playId,pitchNumber,details.description,details.event,details.awayScore,details.homeScore,details.isScoringPlay,details.hasReview,details.code,details.ballColor,details.isInPlay,details.isStrike,details.isBall,details.call.code,details.call.description,count.balls.start,count.strikes.start,count.outs.start,player.id,player.link,pitchData.strikeZoneTop,pitchData.strikeZoneBottom,details.fromCatcher,pitchData.coordinates.x,pitchData.coordinates.y,hitData.trajectory,hitData.hardness,hitData.location,hitData.coordinates.coordX,hitData.coordinates.coordY,actionPlayId,details.eventType,details.runnerGoing,position.code,position.name,position.type,position.abbreviation,battingOrder,atBatIndex,result.type,result.event,result.eventType,result.description,result.rbi,result.awayScore,result.homeScore,about.atBatIndex,about.halfInning,about.inning,about.startTime,about.endTime,about.isComplete,about.isScoringPlay,about.hasReview,about.hasOut,about.captivatingIndex,count.balls.end,count.strikes.end,count.outs.end,matchup.batter.id,matchup.batter.fullName,matchup.batter.link,matchup.batSide.code,matchup.batSide.description,matchup.pitcher.id,matchup.pitcher.fullName,matchup.pitcher.link,matchup.pitchHand.code,matchup.pitchHand.description,matchup.splits.batter,matchup.splits.pitcher,matchup.splits.menOnBase,batted.ball.result,home_team,home_level_id,home_level_name,home_parentOrg_id,home_parentOrg_name,home_league_id,home_league_name,away_team,away_level_id,away_level_name,away_parentOrg_id,away_parentOrg_name,away_league_id,away_league_name,batting_team,fielding_team,last.pitch.of.ab,pfxId,details.trailColor,details.type.code,details.type.description,pitchData.startSpeed,pitchData.endSpeed,pitchData.zone,pitchData.typeConfidence,pitchData.plateTime,pitchData.extension,pitchData.coordinates.aY,pitchData.coordinates.aZ,pitchData.coordinates.pfxX,pitchData.coordinates.pfxZ,pitchData.coordinates.pX,pitchData.coordinates.pZ,pitchData.coordinates.vX0,pitchData.coordinates.vY0,pitchData.coordinates.vZ0,pitchData.coordinates.x0,pitchData.coordinates.y0,pitchData.coordinates.z0,pitchData.coordinates.aX,pitchData.breaks.breakAngle,pitchData.breaks.breakLength,pitchData.breaks.breakY,pitchData.breaks.spinRate,pitchData.breaks.spinDirection,hitData.launchSpeed,hitData.launchAngle,hitData.totalDistance,injuryType,umpire.id,umpire.link,details.isOut,pitchData.breaks.breakVertical,pitchData.breaks.breakVerticalInduced,pitchData.breaks.breakHorizontal,details.disengagementNum,details.violation.type,details.violation.description,details.violation.player.id,details.violation.player.fullName,isSubstitution,replacedPlayer.id,replacedPlayer.link,reviewDetails.isOverturned.x,reviewDetails.inProgress.x,reviewDetails.reviewType.x,base,result.isOut,about.isTopInning,matchup.postOnSecond.id,matchup.postOnSecond.fullName,matchup.postOnSecond.link,matchup.postOnThird.id,matchup.postOnThird.fullName,matchup.postOnThird.link,matchup.postOnFirst.id,matchup.postOnFirst.fullName,matchup.postOnFirst.link,reviewDetails.isOverturned.y,reviewDetails.inProgress.y,reviewDetails.reviewType.y,reviewDetails.challengeTeamId
788114,2026-03-06,5,2026-03-06T12:44:05.425Z,2026-03-06T12:44:08.425Z,TRUE,pitch,e9f3ead8-2ffa-3a7b-8da8-b9b9d381eab1,6,Swinging Strike,NA,NA,NA,NA,FALSE,S,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,S,Swinging Strike,3,3,2,NA,NA,3.016,1.522,NA,129.49,152.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,atBat,Strikeout,strikeout,Tsung-Che Cheng strikes out swinging.,0,13,0,68,bottom,7,2026-03-06T12:42:25.313Z,2026-03-06T12:44:08.425Z,TRUE,FALSE,FALSE,TRUE,14,3,3,3,691907,Tsung-Che Cheng,/api/v1/people/691907,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94,85.2,11,2,0.4021,5.58,32.1533,-17.6005,10.7202,7.7658,-0.3277,3.196,-8.7751,-136.6144,-2.8165,1.5449,50.0003,5.4607,20.1124,44.4,6,24,2518,128,NA,NA,NA,NA,NA,NA,TRUE,-17.6,13.6,-17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,4,2026-03-06T12:43:45.853Z,2026-03-06T12:43:50.927Z,TRUE,pitch,4402051e-9bae-337b-bd2f-f35bacbb2d27,5,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,3,2,2,NA,NA,3.016,1.522,NA,97.77,140.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,atBat,Strikeout,strikeout,Tsung-Che Cheng strikes out swinging.,0,13,0,68,bottom,7,2026-03-06T12:42:25.313Z,2026-03-06T12:44:08.425Z,TRUE,FALSE,FALSE,TRUE,14,3,3,3,691907,Tsung-Che Cheng,/api/v1/people/691907,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(0, 34, 255, 1.0)",CU,Curveball,81.7,74.5,12,2,0.4628,5.3338,24.6698,-43.4474,-7.5808,-7.9615,0.5044,3.6549,-0.8192,-118.768,4.0936,1.8385,50.0038,5.8836,-10.7321,14.4,13.2,24,2627,311,NA,NA,NA,NA,NA,NA,FALSE,-54.4,-13,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,3,2026-03-06T12:43:28.132Z,2026-03-06T12:43:32.974Z,TRUE,pitch,72d49678-7d03-3b9f-b7a0-30e1ef274e77,4,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,2,2,2,NA,NA,3.016,1.522,NA,162.28,156.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,atBat,Strikeout,strikeout,Tsung-Che Cheng strikes out swinging.,0,13,0,68,bottom,7,2026-03-06T12:42:25.313Z,2026-03-06T12:44:08.425Z,TRUE,FALSE,FALSE,TRUE,14,3,3,3,691907,Tsung-Che Cheng,/api/v1/people/691907,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.1,85.5,11,2,0.4016,5.7071,31.2125,-17.6816,9.94,7.6988,-1.1878,3.0463,-10.4215,-136.6076,-3.1317,1.3924,50.002,5.4289,18.7112,42,4.8,24,2406,124,NA,NA,NA,NA,NA,NA,FALSE,-17.8,13.4,-15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,2,2026-03-06T12:43:10.845Z,2026-03-06T12:43:17.978Z,TRUE,pitch,17cabb6f-d2c5-3047-ba81-f3e03d0acb00,3,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,1,2,2,NA,NA,3.016,1.522,NA,106.84,187.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,atBat,Strikeout,strikeout,Tsung-Che Cheng strikes out swinging.,0,13,0,68,bottom,7,2026-03-06T12:42:25.313Z,2026-03-06T12:44:08.425Z,TRUE,FALSE,FALSE,TRUE,14,3,3,3,691907,Tsung-Che Cheng,/api/v1/people/691907,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(0, 34, 255, 1.0)",CU,Curveball,79.7,73,8,2,0.4744,5.4135,24.3066,-43.4979,-7.2748,-8.4207,0.2664,1.9106,-1.1425,-116.0247,0.7364,1.7108,50.0001,5.7773,-9.7885,13.2,13.2,24,2622,313,NA,NA,NA,NA,NA,NA,FALSE,-58.1,-14.6,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,1,2026-03-06T12:42:54.886Z,2026-03-06T12:42:58.139Z,TRUE,pitch,232f3a90-7fa7-318a-8593-651f488e127e,2,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,1,2,NA,NA,3.016,1.522,NA,91.12,136.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,atBat,Strikeout,strikeout,Tsung-Che Cheng strikes out swinging.,0,13,0,68,bottom,7,2026-03-06T12:42:25.313Z,2026-03-06T12:44:08.425Z,TRUE,FALSE,FALSE,TRUE,14,3,3,3,691907,Tsung-Che Cheng,/api/v1/people/691907,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(0, 34, 255, 1.0)",CU,Curveball,78.9,72.2,12,2,0.4786,5.2392,22.5265,-42.1589,-8.5541,-7.5428,0.6789,3.7941,0.1795,-114.739,4.3454,1.7094,50.0003,6.0011,-11.3288,15.6,13.2,24,2555,313,NA,NA,NA,NA,NA,NA,FALSE,-56.4,-12.1,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,0,2026-03-06T12:42:33.134Z,2026-03-06T12:42:36.389Z,TRUE,pitch,bdc58d9f-ad0f-3a0d-9c9e-aa06d5207eac,1,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,0,1,2,NA,NA,3.016,1.522,NA,142.07,187.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,atBat,Strikeout,strikeout,Tsung-Che Cheng strikes out swinging.,0,13,0,68,bottom,7,2026-03-06T12:42:25.313Z,2026-03-06T12:44:08.425Z,TRUE,FALSE,FALSE,TRUE,14,3,3,3,691907,Tsung-Che Cheng,/api/v1/people/691907,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(119, 0, 152, 1.0)",FS,Splitter,88.3,81.1,7,2,0.4266,5.6071,25.8603,-27.1197,10.4738,3.0245,-0.6578,1.8963,-8.4397,-128.2529,-3.9435,1.3105,50.0029,5.5626,17.4957,30,7.2,24,2095,126,NA,NA,NA,NA,NA,NA,FALSE,-30.4,4.8,-17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,7,2026-03-06T12:41:56.478Z,2026-03-06T12:42:06.866Z,TRUE,pitch,a8be1168-9201-32ff-8c65-ed2eaafe169f,8,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",3,2,1,NA,NA,3.165,1.598,NA,134.33,162.53,fly_ball,medium,7,56.11,125.55,NA,NA,NA,NA,NA,NA,NA,NA,67,atBat,Flyout,field_out,Chen-Wei Chen flies out to left fielder Taisei Makihara.,0,13,0,67,bottom,7,2026-03-06T12:39:47.043Z,2026-03-06T12:42:06.866Z,TRUE,FALSE,FALSE,TRUE,0,3,2,2,808992,Chen-Wei Chen,/api/v1/people/808992,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.6,85.8,1,2,0.3997,5.6136,32.2625,-16.0142,10.4879,8.5106,-0.4548,2.824,-8.7933,-137.3794,-4.1575,1.4351,50.0041,5.4555,19.9196,46.8,4.8,24,2438,125,84,42,252,NA,NA,NA,TRUE,-16.2,14.6,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,6,2026-03-06T12:41:35.394Z,2026-03-06T12:41:51.478Z,TRUE,pitch,507df96f-17c5-3819-8f1c-e4c7240a40b4,7,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,3,2,1,NA,NA,3.165,1.598,NA,149.68,160.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,atBat,Flyout,field_out,Chen-Wei Chen flies out to left fielder Taisei Makihara.,0,13,0,67,bottom,7,2026-03-06T12:39:47.043Z,2026-03-06T12:42:06.866Z,TRUE,FALSE,FALSE,TRUE,0,3,2,2,808992,Chen-Wei Chen,/api/v1/people/808992,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,93.6,84.7,11,2,0.4045,5.6623,32.3196,-14.2429,9.0312,9.6795,-0.8573,2.9095,-9.2826,-135.874,-4.0968,1.4451,50.0028,5.4399,16.7315,43.2,4.8,24,2458,125,NA,NA,NA,NA,NA,NA,FALSE,-14.9,16.7,-14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,5,2026-03-06T12:41:11.671Z,2026-03-06T12:41:15.939Z,TRUE,pitch,a6061f48-7122-33cc-85ec-8aad30fad4c7,6,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,3,2,1,NA,NA,3.165,1.598,NA,163.81,134.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,atBat,Flyout,field_out,Chen-Wei Chen flies out to left fielder Taisei Makihara.,0,13,0,67,bottom,7,2026-03-06T12:39:47.043Z,2026-03-06T12:42:06.866Z,TRUE,FALSE,FALSE,TRUE,0,3,2,2,808992,Chen-Wei Chen,/api/v1/people/808992,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,93.5,84.6,11,2,0.4048,5.561,31.9693,-15.4926,8.2637,9.0171,-1.228,3.8782,-10.1014,-135.7229,-1.624,1.4828,50.0059,5.5728,15.2943,39.6,4.8,24,2477,128,NA,NA,NA,NA,NA,NA,FALSE,-15.5,16.1,-12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,4,2026-03-06T12:40:53.909Z,2026-03-06T12:40:57.575Z,TRUE,pitch,3ba72ce2-d5b1-396f-869d-f016e5304948,5,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,3,2,1,NA,NA,3.165,1.598,NA,136.43,149.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,atBat,Flyout,field_out,Chen-Wei Chen flies out to left fielder Taisei Makihara.,0,13,0,67,bottom,7,2026-03-06T12:39:47.043Z,2026-03-06T12:42:06.866Z,TRUE,FALSE,FALSE,TRUE,0,3,2,2,808992,Chen-Wei Chen,/api/v1/people/808992,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,93.5,84.6,1,2,0.4047,5.6204,32.25,-17.2478,9.9548,8.0653,-0.5097,3.2954,-8.4374,-135.7996,-3.1602,1.3581,50.0044,5.6876,18.4268,42,4.8,24,2432,129,NA,NA,NA,NA,NA,NA,FALSE,-17.6,14,-16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,3,2026-03-06T12:40:36.292Z,2026-03-06T12:40:42.160Z,TRUE,pitch,e1063f31-15e5-373d-893c-72abc6b1dc9e,4,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,3,1,1,NA,NA,3.165,1.598,NA,140.44,126.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,atBat,Flyout,field_out,Chen-Wei Chen flies out to left fielder Taisei Makihara.,0,13,0,67,bottom,7,2026-03-06T12:39:47.043Z,2026-03-06T12:42:06.866Z,TRUE,FALSE,FALSE,TRUE,0,3,2,2,808992,Chen-Wei Chen,/api/v1/people/808992,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,92.8,84,11,2,0.4076,5.4816,31.5333,-16.0781,8.5772,8.8169,-0.615,4.1758,-8.5842,-134.8079,-0.6317,1.5087,50.0016,5.5567,15.6574,39.6,4.8,24,2433,131,NA,NA,NA,NA,NA,NA,FALSE,-16.1,16,-13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,2,2026-03-06T12:40:19.987Z,2026-03-06T12:40:26.766Z,TRUE,pitch,8d71c568-9ff6-3323-b5e4-30ad48ea2201,3,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,2,1,1,NA,NA,3.165,1.598,NA,170.71,141.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,atBat,Flyout,field_out,Chen-Wei Chen flies out to left fielder Taisei Makihara.,0,13,0,67,bottom,7,2026-03-06T12:39:47.043Z,2026-03-06T12:42:06.866Z,TRUE,FALSE,FALSE,TRUE,0,3,2,2,808992,Chen-Wei Chen,/api/v1/people/808992,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(0, 34, 255, 1.0)",CU,Curveball,80.1,73,11,2,0.473,5.4349,24.4481,-43.2573,-6.2539,-8.1808,-1.4091,3.5928,-4.7604,-116.3669,4.042,1.4852,50.0049,5.9658,-8.4683,12,13.2,24,2591,310,NA,NA,NA,NA,NA,NA,FALSE,-56.5,-13.3,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,1,2026-03-06T12:40:01.780Z,2026-03-06T12:40:04.780Z,TRUE,pitch,f408fe1f-f95f-3b5b-8e2b-b6de32ddd6e7,2,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,1,1,NA,NA,3.165,1.598,NA,185.48,223.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,atBat,Flyout,field_out,Chen-Wei Chen flies out to left fielder Taisei Makihara.,0,13,0,67,bottom,7,2026-03-06T12:39:47.043Z,2026-03-06T12:42:06.866Z,TRUE,FALSE,FALSE,TRUE,0,3,2,2,808992,Chen-Wei Chen,/api/v1/people/808992,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(0, 34, 255, 1.0)",CU,Curveball,81.9,75.3,13,2,0.4625,5.4837,25.683,-43.2677,-4.7954,-7.8417,-1.7967,0.5567,-6.2732,-119.035,-2.6994,1.5091,50.0004,5.673,-6.787,9.6,13.2,24,2707,324,NA,NA,NA,NA,NA,NA,FALSE,-55.9,-14.5,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,0,2026-03-06T12:39:47.227Z,2026-03-06T12:39:50.587Z,TRUE,pitch,66c0a40b-a158-3185-b68b-086663a40eb4,1,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,0,1,1,NA,NA,3.165,1.598,NA,134.1,168.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,atBat,Flyout,field_out,Chen-Wei Chen flies out to left fielder Taisei Makihara.,0,13,0,67,bottom,7,2026-03-06T12:39:47.043Z,2026-03-06T12:42:06.866Z,TRUE,FALSE,FALSE,TRUE,0,3,2,2,808992,Chen-Wei Chen,/api/v1/people/808992,L,Left,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_LHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,93.4,85,4,2,0.4042,5.5613,30.8214,-16.8223,9.5331,8.2615,-0.4485,2.6037,-8.4655,-135.7132,-4.3676,1.4788,50.0001,5.4122,17.7083,42,4.8,24,2485,123,NA,NA,NA,NA,NA,NA,FALSE,-17.4,14.2,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,5,2026-03-06T12:39:08.074Z,2026-03-06T12:39:20.028Z,TRUE,pitch,669b4156-23fc-3c5c-b6fe-76a048f6bb20,2,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",1,0,0,NA,NA,3.165,1.598,NA,150.29,153.4,popup,medium,2,128.54,171.86,NA,NA,NA,NA,NA,NA,NA,NA,66,atBat,Pop Out,field_out,Shao-Hung Chiang pops out to catcher Seishiro Sakamoto in foul territory.,0,13,0,66,bottom,7,2026-03-06T12:38:51.008Z,2026-03-06T12:39:20.028Z,TRUE,FALSE,FALSE,TRUE,0,1,0,1,830725,Shao-Hung Chiang,/api/v1/people/830725,R,Right,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_RHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,NA,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,92.7,84.6,11,2,0.4065,5.5545,29.2573,-17.3012,8.7953,8.0893,-0.8733,3.1621,-9.1919,-134.7334,-2.8997,1.4397,50.0035,5.4749,16.1725,38.4,4.8,24,2400,125,74.5,80,78,NA,NA,NA,TRUE,-17.6,14.2,-13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788114,2026-03-06,4,2026-03-06T12:38:52.881Z,2026-03-06T12:38:57.058Z,TRUE,pitch,38ebe5f8-8ab6-35b7-a460-1d9740eb0a06,1,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,0,0,NA,NA,3.165,1.598,NA,154.19,181.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,atBat,Pop Out,field_out,Shao-Hung Chiang pops out to catcher Seishiro Sakamoto in foul territory.,0,13,0,66,bottom,7,2026-03-06T12:38:51.008Z,2026-03-06T12:39:20.028Z,TRUE,FALSE,FALSE,TRUE,0,1,0,1,830725,Shao-Hung Chiang,/api/v1/people/830725,R,Right,838349,Ryuhei Sotani,/api/v1/people/838349,L,Left,vs_LHP,vs_RHB,Empty,NA,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Japan,NA,NA,"rgba(0, 34, 255, 1.0)",CU,Curveball,80.4,73.8,13,2,0.47,5.5194,23.9237,-42.4495,-6.441,-7.4871,-0.9757,2.1295,-4.0819,-116.9379,0.7658,1.6348,50.0026,5.8091,-8.839,13.2,13.2,24,2678,318,NA,NA,NA,NA,NA,NA,FALSE,-55.7,-13,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
