game_pk,game_date,index,startTime,endTime,isPitch,type,playId,pitchNumber,details.description,details.event,details.awayScore,details.homeScore,details.isScoringPlay,details.hasReview,details.code,details.ballColor,details.isInPlay,details.isStrike,details.isBall,details.call.code,details.call.description,count.balls.start,count.strikes.start,count.outs.start,player.id,player.link,pitchData.strikeZoneTop,pitchData.strikeZoneBottom,details.fromCatcher,pitchData.coordinates.x,pitchData.coordinates.y,hitData.trajectory,hitData.hardness,hitData.location,hitData.coordinates.coordX,hitData.coordinates.coordY,actionPlayId,details.eventType,details.runnerGoing,position.code,position.name,position.type,position.abbreviation,battingOrder,atBatIndex,result.type,result.event,result.eventType,result.description,result.rbi,result.awayScore,result.homeScore,about.atBatIndex,about.halfInning,about.inning,about.startTime,about.endTime,about.isComplete,about.isScoringPlay,about.hasReview,about.hasOut,about.captivatingIndex,count.balls.end,count.strikes.end,count.outs.end,matchup.batter.id,matchup.batter.fullName,matchup.batter.link,matchup.batSide.code,matchup.batSide.description,matchup.pitcher.id,matchup.pitcher.fullName,matchup.pitcher.link,matchup.pitchHand.code,matchup.pitchHand.description,matchup.splits.batter,matchup.splits.pitcher,matchup.splits.menOnBase,batted.ball.result,home_team,home_level_id,home_level_name,home_parentOrg_id,home_parentOrg_name,home_league_id,home_league_name,away_team,away_level_id,away_level_name,away_parentOrg_id,away_parentOrg_name,away_league_id,away_league_name,batting_team,fielding_team,last.pitch.of.ab,pfxId,details.trailColor,details.type.code,details.type.description,pitchData.startSpeed,pitchData.endSpeed,pitchData.zone,pitchData.typeConfidence,pitchData.plateTime,pitchData.extension,pitchData.coordinates.aY,pitchData.coordinates.aZ,pitchData.coordinates.pfxX,pitchData.coordinates.pfxZ,pitchData.coordinates.pX,pitchData.coordinates.pZ,pitchData.coordinates.vX0,pitchData.coordinates.vY0,pitchData.coordinates.vZ0,pitchData.coordinates.x0,pitchData.coordinates.y0,pitchData.coordinates.z0,pitchData.coordinates.aX,pitchData.breaks.breakAngle,pitchData.breaks.breakLength,pitchData.breaks.breakY,pitchData.breaks.spinRate,pitchData.breaks.spinDirection,hitData.launchSpeed,hitData.launchAngle,hitData.totalDistance,injuryType,umpire.id,umpire.link,details.isOut,pitchData.breaks.breakVertical,pitchData.breaks.breakVerticalInduced,pitchData.breaks.breakHorizontal,details.disengagementNum,isBaseRunningPlay,isSubstitution,base,replacedPlayer.id,replacedPlayer.link,result.isOut,about.isTopInning,matchup.postOnFirst.id,matchup.postOnFirst.fullName,matchup.postOnFirst.link,matchup.postOnSecond.id,matchup.postOnSecond.fullName,matchup.postOnSecond.link,matchup.postOnThird.id,matchup.postOnThird.fullName,matchup.postOnThird.link
788113,2026-03-08,4,2026-03-08T06:06:09.387Z,2026-03-08T06:07:01.143Z,TRUE,pitch,cc0619a6-f2a0-3d2e-a879-73e151ab1ccb,4,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",2,1,2,NA,NA,3.21,1.62,NA,91.02,167.21,fly_ball,medium,9,214,123,NA,NA,NA,NA,NA,NA,NA,NA,76,atBat,Flyout,field_out,Do Yeong Kim flies out to right fielder Cheng-Hui Sung in foul territory.,0,5,4,76,bottom,10,2026-03-08T06:05:03.281Z,2026-03-08T06:07:01.143Z,TRUE,FALSE,FALSE,TRUE,0,2,1,3,838339,Do Yeong Kim,/api/v1/people/838339,R,Right,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_RHB,Empty,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,NA,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,95.2,85.4,6,1.38,0.399,6.39,36.5276,-10.4723,-3.4181,11.4256,0.6816,2.6506,6.7619,-138.3234,-5.2629,-1.3726,50.0037,5.3078,-6.4932,21.6,2.4,24,2350,202,94.3,46,280,NA,NA,NA,TRUE,-11.3,19.4,4.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,3,2026-03-08T06:05:48.853Z,2026-03-08T06:05:51.894Z,TRUE,pitch,b3b3a79e-f997-3ecb-abd3-f5b7907fdfd5,3,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,2,1,2,NA,NA,3.21,1.62,NA,56.03,166.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,atBat,Flyout,field_out,Do Yeong Kim flies out to right fielder Cheng-Hui Sung in foul territory.,0,5,4,76,bottom,10,2026-03-08T06:05:03.281Z,2026-03-08T06:07:01.143Z,TRUE,FALSE,FALSE,TRUE,0,2,1,3,838339,Do Yeong Kim,/api/v1/people/838339,R,Right,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_RHB,Empty,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,NA,NA,"rgba(152, 0, 101, 1.0)",FC,Cutter,87.8,80.4,12,1.36,0.4294,6.3804,26.7548,-25.5172,1.0684,4.0443,1.5994,2.6663,7.5985,-127.6389,-1.5854,-1.5574,50.0042,5.3086,1.7592,7.2,6,24,2216,173,NA,NA,NA,NA,NA,NA,FALSE,-28.4,7.2,-3.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,1,2026-03-08T06:05:20.181Z,2026-03-08T06:05:30.611Z,TRUE,pitch,1ef618e5-51e9-3d21-8e6a-f4492c5f167e,2,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,1,2,NA,NA,3.21,1.62,NA,68.17,197.73,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,76,atBat,Flyout,field_out,Do Yeong Kim flies out to right fielder Cheng-Hui Sung in foul territory.,0,5,4,76,bottom,10,2026-03-08T06:05:03.281Z,2026-03-08T06:07:01.143Z,TRUE,FALSE,FALSE,TRUE,0,2,1,3,838339,Do Yeong Kim,/api/v1/people/838339,R,Right,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_RHB,Empty,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,NA,NA,"rgba(152, 0, 101, 1.0)",FC,Cutter,87.6,80.3,14,1.36,0.4303,6.4314,26.8472,-24.0199,1.2531,4.9726,1.2811,1.5205,6.5323,-127.4215,-4.5776,-1.4814,50.0043,5.2446,2.0534,7.2,6,24,2254,181,NA,NA,NA,NA,NA,NA,FALSE,-27.6,8.2,-3.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,0,2026-03-08T06:05:03.281Z,2026-03-08T06:05:06.281Z,TRUE,pitch,3af4e3bf-e6cd-3cab-9b2e-bd7ee3e429f5,1,Swinging Strike,NA,NA,NA,NA,FALSE,S,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,S,Swinging Strike,0,1,2,NA,NA,3.21,1.62,NA,105.03,200.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,atBat,Flyout,field_out,Do Yeong Kim flies out to right fielder Cheng-Hui Sung in foul territory.,0,5,4,76,bottom,10,2026-03-08T06:05:03.281Z,2026-03-08T06:07:01.143Z,TRUE,FALSE,FALSE,TRUE,0,2,1,3,838339,Do Yeong Kim,/api/v1/people/838339,R,Right,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_RHB,Empty,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,NA,NA,"rgba(152, 0, 101, 1.0)",FC,Cutter,87.2,79.9,14,1.36,0.4321,6.3947,26.9413,-23.7634,2.3451,5.1744,0.314,1.4332,4.1943,-126.9626,-4.6588,-1.6668,50.0055,5.1925,3.8135,10.8,6,24,2192,179,NA,NA,NA,NA,NA,NA,FALSE,-27.6,8.5,-5.3,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,2,2026-03-08T06:05:30.611Z,2026-03-08T06:05:48.853Z,FALSE,action,NA,NA,Hyeseong Kim steals (1) 2nd base.,Stolen Base 2B,5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,2,808975,/api/v1/people/808975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1ef618e5-51e9-3d21-8e6a-f4492c5f167e,stolen_base_2b,NA,NA,NA,NA,NA,NA,76,atBat,Flyout,field_out,Do Yeong Kim flies out to right fielder Cheng-Hui Sung in foul territory.,0,5,4,76,bottom,10,2026-03-08T06:05:03.281Z,2026-03-08T06:07:01.143Z,TRUE,FALSE,FALSE,TRUE,0,2,1,3,838339,Do Yeong Kim,/api/v1/people/838339,R,Right,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_RHB,Empty,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,2,2026-03-08T06:02:46.430Z,2026-03-08T06:02:58.583Z,TRUE,pitch,f924ac95-c5a2-38e9-92a8-84b22e88b63a,3,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",1,1,1,NA,NA,3.124,1.577,NA,70.73,151.12,ground_ball,medium,3,146.33,179.81,NA,NA,NA,NA,NA,NA,NA,NA,75,atBat,Fielders Choice Out,fielders_choice_out,"Hyeseong Kim reaches on a fielder's choice out, first baseman Nien-Ting Wu to catcher Shao-Hung Chiang. Ju Won Kim out at home.",0,5,4,75,bottom,10,2026-03-08T06:01:50.830Z,2026-03-08T06:02:58.583Z,TRUE,FALSE,FALSE,TRUE,8,1,1,2,808975,Hyeseong Kim,/api/v1/people/808975,L,Left,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_LHB,Men_On,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,93.6,85.7,12,1.32,0.402,6.4209,29.1734,-17.535,-4.0123,7.7833,1.2139,3.2467,8.3412,-136.1066,-2.5558,-1.3656,50.0027,5.4086,-7.5471,18,3.6,24,2224,208,65.1,-14,13,NA,NA,NA,TRUE,-17.4,13.8,5.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,808975,Hyeseong Kim,/api/v1/people/808975,NA,NA,NA,NA,NA,NA
788113,2026-03-08,1,2026-03-08T06:02:26.664Z,2026-03-08T06:02:29.981Z,TRUE,pitch,3bfffa62-b2f0-3c76-a483-1847063ad9e2,2,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,1,1,NA,NA,3.124,1.577,NA,80.4,195.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,atBat,Fielders Choice Out,fielders_choice_out,"Hyeseong Kim reaches on a fielder's choice out, first baseman Nien-Ting Wu to catcher Shao-Hung Chiang. Ju Won Kim out at home.",0,5,4,75,bottom,10,2026-03-08T06:01:50.830Z,2026-03-08T06:02:58.583Z,TRUE,FALSE,FALSE,TRUE,8,1,1,2,808975,Hyeseong Kim,/api/v1/people/808975,L,Left,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_LHB,Men_On,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,false,NA,"rgba(152, 0, 101, 1.0)",FC,Cutter,86.2,79.2,14,1.1,0.4368,6.3904,25.5784,-27.9615,-0.3554,2.6471,0.9601,1.5849,6.2441,-125.4394,-3.5136,-1.5162,50.0047,5.2857,-0.5669,1.2,7.2,24,2245,145,NA,NA,NA,NA,NA,NA,FALSE,-32.6,4.2,-0.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,0,2026-03-08T06:02:08.290Z,2026-03-08T06:02:12.020Z,TRUE,pitch,42ce1ab4-8214-36c9-804d-4d9f724750f8,1,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,0,1,1,NA,NA,3.124,1.577,NA,92.25,181.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,atBat,Fielders Choice Out,fielders_choice_out,"Hyeseong Kim reaches on a fielder's choice out, first baseman Nien-Ting Wu to catcher Shao-Hung Chiang. Ju Won Kim out at home.",0,5,4,75,bottom,10,2026-03-08T06:01:50.830Z,2026-03-08T06:02:58.583Z,TRUE,FALSE,FALSE,TRUE,8,1,1,2,808975,Hyeseong Kim,/api/v1/people/808975,L,Left,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_LHB,Men_On,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,false,NA,"rgba(152, 0, 101, 1.0)",FC,Cutter,87.7,80.7,9,1.36,0.4287,6.4123,25.5599,-27.3607,1.9838,2.9115,0.6493,2.115,5.0183,-127.6233,-2.656,-1.598,50.0046,5.3178,3.2816,8.4,7.2,24,2273,176,NA,NA,NA,NA,NA,NA,FALSE,-30.6,4.9,-4.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,5,2026-03-08T06:01:23.450Z,2026-03-08T06:01:37.136Z,TRUE,pitch,763d5a75-3d26-3d34-8c9a-2a6a74930717,2,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",1,0,0,NA,NA,3.299,1.665,NA,121.59,140.95,bunt_grounder,medium,3,139.08,187.06,NA,NA,NA,NA,NA,NA,NA,NA,74,atBat,Sac Bunt,sac_bunt,"Hyung Jun Kim out on a sacrifice bunt, first baseman Nien-Ting Wu to second baseman Tsung-Che Cheng. Ju Won Kim to 3rd.",0,5,4,74,bottom,10,2026-03-08T06:01:02.080Z,2026-03-08T06:01:37.136Z,TRUE,FALSE,FALSE,TRUE,4,1,0,1,823570,Hyung Jun Kim,/api/v1/people/823570,R,Right,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_RHB,RISP,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,NA,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,93.3,84.8,11,1.37,0.4043,6.3345,31.1227,-12.8661,-4.4422,10.4,-0.1204,3.6232,5.4961,-135.7479,-2.6419,-1.599,50.0052,5.5106,-8.2497,27.6,3.6,24,2255,200,17.7,19,22,NA,NA,NA,TRUE,-13.1,18.5,6.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,823572,Ju Won Kim,/api/v1/people/823572
788113,2026-03-08,4,2026-03-08T06:01:03.274Z,2026-03-08T06:01:06.274Z,TRUE,pitch,49a2e573-41e7-3c2f-a359-f5e101a88a14,1,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,0,0,NA,NA,3.299,1.665,NA,135.64,103.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,atBat,Sac Bunt,sac_bunt,"Hyung Jun Kim out on a sacrifice bunt, first baseman Nien-Ting Wu to second baseman Tsung-Che Cheng. Ju Won Kim to 3rd.",0,5,4,74,bottom,10,2026-03-08T06:01:02.080Z,2026-03-08T06:01:37.136Z,TRUE,FALSE,FALSE,TRUE,4,1,0,1,823570,Hyung Jun Kim,/api/v1/people/823570,R,Right,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_RHB,RISP,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,NA,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,92.8,84.1,11,1.36,0.4067,6.4578,31.294,-14.9659,-4.1924,9.3815,-0.4891,5.0124,4.2834,-135.0403,1.2713,-1.5564,50.0015,5.593,-7.6893,24,3.6,24,2164,208,NA,NA,NA,NA,NA,NA,FALSE,-14.4,17.5,6.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,0,2026-03-08T05:59:52.193Z,2026-03-08T05:59:52.210Z,FALSE,action,NA,NA,Chieh-Hsien Chen remains in the game as the designated hitter.,Defensive Switch,5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,808993,/api/v1/people/808993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,defensive_switch,NA,10,Designated Hitter,Hitter,DH,701,74,atBat,Sac Bunt,sac_bunt,"Hyung Jun Kim out on a sacrifice bunt, first baseman Nien-Ting Wu to second baseman Tsung-Che Cheng. Ju Won Kim to 3rd.",0,5,4,74,bottom,10,2026-03-08T06:01:02.080Z,2026-03-08T06:01:37.136Z,TRUE,FALSE,FALSE,TRUE,4,1,0,1,823570,Hyung Jun Kim,/api/v1/people/823570,R,Right,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_RHB,RISP,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,644375,/api/v1/people/644375,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,1,2026-03-08T05:59:52.210Z,2026-03-08T05:59:52.211Z,FALSE,action,NA,NA,Shao-Hung Chiang remains in the game as the catcher.,Defensive Switch,5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,830725,/api/v1/people/830725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,defensive_switch,NA,2,Catcher,Catcher,C,801,74,atBat,Sac Bunt,sac_bunt,"Hyung Jun Kim out on a sacrifice bunt, first baseman Nien-Ting Wu to second baseman Tsung-Che Cheng. Ju Won Kim to 3rd.",0,5,4,74,bottom,10,2026-03-08T06:01:02.080Z,2026-03-08T06:01:37.136Z,TRUE,FALSE,FALSE,TRUE,4,1,0,1,823570,Hyung Jun Kim,/api/v1/people/823570,R,Right,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_RHB,RISP,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,670076,/api/v1/people/670076,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,2,2026-03-08T05:59:52.211Z,2026-03-08T06:00:36.318Z,FALSE,action,NA,NA,Pitching Change: Jyun-Yue Tseng replaces Yi Chang.,Pitching Substitution,5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,809004,/api/v1/people/809004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pitching_substitution,NA,1,Pitcher,Pitcher,P,NA,74,atBat,Sac Bunt,sac_bunt,"Hyung Jun Kim out on a sacrifice bunt, first baseman Nien-Ting Wu to second baseman Tsung-Che Cheng. Ju Won Kim to 3rd.",0,5,4,74,bottom,10,2026-03-08T06:01:02.080Z,2026-03-08T06:01:37.136Z,TRUE,FALSE,FALSE,TRUE,4,1,0,1,823570,Hyung Jun Kim,/api/v1/people/823570,R,Right,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_RHB,RISP,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,3,2026-03-08T06:00:36.318Z,2026-03-08T06:01:03.274Z,FALSE,action,NA,NA,Ju Won Kim starts inning at 2nd base.,Runner Placed On Base,5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,823572,/api/v1/people/823572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,runner_placed,NA,NA,NA,NA,NA,NA,74,atBat,Sac Bunt,sac_bunt,"Hyung Jun Kim out on a sacrifice bunt, first baseman Nien-Ting Wu to second baseman Tsung-Che Cheng. Ju Won Kim to 3rd.",0,5,4,74,bottom,10,2026-03-08T06:01:02.080Z,2026-03-08T06:01:37.136Z,TRUE,FALSE,FALSE,TRUE,4,1,0,1,823570,Hyung Jun Kim,/api/v1/people/823570,R,Right,809004,Jyun-Yue Tseng,/api/v1/people/809004,R,Right,vs_RHP,vs_RHB,RISP,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Chinese Taipei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,1,2026-03-08T05:58:02.912Z,2026-03-08T05:58:16.050Z,TRUE,pitch,863541b6-c7ce-3b0e-8ce9-bed52e9a30ef,2,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",0,1,2,NA,NA,3.159,1.594,NA,140.01,152.34,fly_ball,medium,7,82.24,97.58,NA,NA,NA,NA,NA,NA,NA,NA,73,atBat,Flyout,field_out,Stuart Fairchild flies out to left fielder Jahmai Jones.,0,5,4,73,top,10,2026-03-08T05:57:38.953Z,2026-03-08T05:58:16.050Z,TRUE,FALSE,FALSE,TRUE,0,0,1,3,656413,Stuart Fairchild,/api/v1/people/656413,R,Right,628359,Kyung-Eun Noh,/api/v1/people/628359,R,Right,vs_RHP,vs_RHB,Empty,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Korea,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,90.5,82.3,1,1.27,0.417,5.9546,29.5563,-14.9179,-6.5411,9.8908,-0.6037,3.2014,3.7528,-131.665,-4.0528,-1.2022,50.0046,5.8742,-11.4152,33.6,4.8,24,2127,222,95,48,276,NA,NA,NA,TRUE,-16.4,17.2,10.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788113,2026-03-08,0,2026-03-08T05:57:38.953Z,2026-03-08T05:57:41.953Z,TRUE,pitch,3b94b462-19e3-3bcd-bb91-53c87fb03b39,1,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,0,1,2,NA,NA,3.159,1.594,NA,96.79,178.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,atBat,Flyout,field_out,Stuart Fairchild flies out to left fielder Jahmai Jones.,0,5,4,73,top,10,2026-03-08T05:57:38.953Z,2026-03-08T05:58:16.050Z,TRUE,FALSE,FALSE,TRUE,0,0,1,3,656413,Stuart Fairchild,/api/v1/people/656413,R,Right,628359,Kyung-Eun Noh,/api/v1/people/628359,R,Right,vs_RHP,vs_RHB,Empty,NA,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Chinese Taipei,Korea,false,NA,"rgba(152, 0, 101, 1.0)",FC,Cutter,88.2,81.4,6,1.35,0.4255,6.2355,25.1411,-18.949,-0.1532,7.871,0.5301,2.2431,4.6229,-128.4496,-5.3915,-1.2687,50.0053,5.8303,-0.2574,1.2,4.8,24,2156,193,NA,NA,NA,NA,NA,NA,FALSE,-21.6,13.3,-0.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
