"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","isBaseRunningPlay","details.disengagementNum","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
788120,"2026-03-05",3,"2026-03-05T05:25:33.249Z","2026-03-05T05:25:40.704Z",TRUE,"pitch","963593ac-4c52-3ea8-ad2e-a9e59941596d",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.032,1.53,NA,NA,NA,"ground_ball","medium","1",132.74,180.98,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Cheng-Yu Chang grounds out, pitcher Jon Kennedy to first baseman Rixon Wingrove.",0,0,3,68,"top",9,"2026-03-05T05:25:04.900Z","2026-03-05T05:25:40.704Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,839138,"Cheng-Yu Chang","/api/v1/people/839138","L","Left",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_LHB","Empty",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",87.8,80.3,6,0.91,0.4304,7.745,25.5881,-31.7514,12.1733,0.2551,0.6046,2.1983,-13.506,-127.1711,0.3866,4.3976,50.001,4.5589,19.978,28.8,8.4,24,1998,84,77.9,-38,3,NA,NA,NA,TRUE,-34.9,0.8,-19.1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",2,"2026-03-05T05:25:16.792Z","2026-03-05T05:25:23.815Z",TRUE,"pitch","d49a8827-5283-3bff-a5a3-62b9d64fdf5d",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.032,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Cheng-Yu Chang grounds out, pitcher Jon Kennedy to first baseman Rixon Wingrove.",0,0,3,68,"top",9,"2026-03-05T05:25:04.900Z","2026-03-05T05:25:40.704Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,839138,"Cheng-Yu Chang","/api/v1/people/839138","L","Left",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_LHB","Empty",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.5,75.4,4,0.71,0.4619,7.8477,21.0168,-33.7515,-2.123,-1.1087,-0.5865,2.2805,-11.2004,-118.2529,2.33,4.4727,50.0002,4.3631,-3.0278,8.4,9.6,24,2421,304,NA,NA,NA,NA,NA,NA,FALSE,-42.4,-1.2,6.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",1,"2026-03-05T05:25:04.900Z","2026-03-05T05:25:08.377Z",TRUE,"pitch","cfb4a3ca-f9a9-3d4d-9ab6-d864db95a313",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.032,1.53,NA,109.64,147.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Cheng-Yu Chang grounds out, pitcher Jon Kennedy to first baseman Rixon Wingrove.",0,0,3,68,"top",9,"2026-03-05T05:25:04.900Z","2026-03-05T05:25:40.704Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,839138,"Cheng-Yu Chang","/api/v1/people/839138","L","Left",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_LHB","Empty",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80,73.7,2,0.83,0.4708,7.8985,20.6799,-34.1227,-0.5164,-1.4173,0.1574,3.1923,-9.6704,-116.1041,4.257,4.4347,50.0048,4.5723,-0.7067,3.6,9.6,24,2478,308,NA,NA,NA,NA,NA,NA,FALSE,-44,-1.2,3.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",0,"2026-03-05T05:25:04.898Z","2026-03-05T05:25:04.899Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Cheng-Yu Chang replaces Tzu-Wei Lin.","Offensive Substitution",0,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,839138,"/api/v1/people/839138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","701","68","atBat","Groundout","field_out","Cheng-Yu Chang grounds out, pitcher Jon Kennedy to first baseman Rixon Wingrove.",0,0,3,68,"top",9,"2026-03-05T05:25:04.900Z","2026-03-05T05:25:40.704Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,839138,"Cheng-Yu Chang","/api/v1/people/839138","L","Left",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_LHB","Empty",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,624407,"/api/v1/people/624407",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",2,"2026-03-05T05:24:13.155Z","2026-03-05T05:24:30.951Z",TRUE,"pitch","26a9e4a9-3db3-386c-9b22-57dbb497c622",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.225,1.628,NA,117.94,175.34,"fly_ball","hard","8",110.87,154.05,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Lyle Lin flies out sharply to center fielder Aaron Whitefield. Yu Chang to 3rd.",0,0,3,67,"top",9,"2026-03-05T05:23:57.986Z","2026-03-05T05:24:30.951Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,670076,"Lyle Lin","/api/v1/people/670076","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","RISP",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",87.1,79.6,5,0.92,0.4339,8.108,25.1817,-24.5286,11.3816,4.7349,-0.0247,2.3495,-14.1927,-126.1353,-1.1537,4.1911,50.0015,4.7869,18.3747,32.4,7.2,24,1893,95,103,36,398,NA,NA,NA,TRUE,-27.8,8.5,-17.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,644375,"Kungkuan Giljegiljaw","/api/v1/people/644375",NA,NA,NA,644374,"Yu Chang","/api/v1/people/644374",NA,NA,NA,NA
788120,"2026-03-05",1,"2026-03-05T05:24:00.817Z","2026-03-05T05:24:04.273Z",TRUE,"pitch","c6d058f0-4906-3885-95a0-02c04ca28e2e",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.225,1.628,NA,91.91,192.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Lyle Lin flies out sharply to center fielder Aaron Whitefield. Yu Chang to 3rd.",0,0,3,67,"top",9,"2026-03-05T05:23:57.986Z","2026-03-05T05:24:30.951Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,670076,"Lyle Lin","/api/v1/people/670076","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","RISP",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",87.6,80.1,9,0.92,0.4314,8.1201,25.8791,-30.0258,12.2993,1.3118,0.6582,1.7283,-13.2558,-126.9552,-1.3478,4.3481,50.0007,4.655,20.0852,30,8.4,24,1863,91,NA,NA,NA,NA,NA,NA,FALSE,-33.6,2.3,-19.3,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",0,"2026-03-05T05:23:30.354Z","2026-03-05T05:24:00.817Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",0,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Lyle Lin flies out sharply to center fielder Aaron Whitefield. Yu Chang to 3rd.",0,0,3,67,"top",9,"2026-03-05T05:23:57.986Z","2026-03-05T05:24:30.951Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,670076,"Lyle Lin","/api/v1/people/670076","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","RISP",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",4,"2026-03-05T05:23:00.246Z","2026-03-05T05:23:08.250Z",TRUE,"pitch","65de0745-6258-369c-8e86-4599358261c8",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,1,1,NA,NA,3.165,1.598,NA,114.81,174.65,"ground_ball","medium","7",72.92,117.61,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Kungkuan Giljegiljaw singles on a ground ball to left fielder Chris Burke. Yu Chang to 2nd.",0,0,3,66,"top",9,"2026-03-05T05:22:20.215Z","2026-03-05T05:23:08.250Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,644375,"Kungkuan Giljegiljaw","/api/v1/people/644375","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","RISP",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",81,73.4,5,0.9,0.4691,6.8609,24.1702,-34.4896,10.1865,-1.6771,0.0574,2.3752,-12.977,-117.1897,2.6171,4.3685,50.0053,4.4875,14.0323,19.2,10.8,24,2113,74,101,1,56,NA,NA,NA,FALSE,-44.4,-1.9,-14.9,NA,NA,NA,NA,NA,NA,FALSE,TRUE,644375,"Kungkuan Giljegiljaw","/api/v1/people/644375",644374,"Yu Chang","/api/v1/people/644374",NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",3,"2026-03-05T05:22:47.989Z","2026-03-05T05:22:51.017Z",TRUE,"pitch","51b57362-f0fe-3836-8070-329307ec3949",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,1,NA,NA,3.165,1.598,NA,99.2,156.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Kungkuan Giljegiljaw singles on a ground ball to left fielder Chris Burke. Yu Chang to 2nd.",0,0,3,66,"top",9,"2026-03-05T05:22:20.215Z","2026-03-05T05:23:08.250Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,644375,"Kungkuan Giljegiljaw","/api/v1/people/644375","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","RISP",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",81.3,73.3,3,0.9,0.4682,8.3335,25.1672,-38.0827,9.4557,-4.2781,0.4669,3.0436,-12.001,-117.6175,4.7069,4.4395,50.0021,4.5772,13.0672,15.6,10.8,24,2185,74,NA,NA,NA,NA,NA,NA,FALSE,-48.2,-5.9,-13.7,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",2,"2026-03-05T05:22:34.568Z","2026-03-05T05:22:37.583Z",TRUE,"pitch","7dbfaf96-2aa5-35bb-99ee-575bc392bca0",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.165,1.598,NA,109.65,215.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Kungkuan Giljegiljaw singles on a ground ball to left fielder Chris Burke. Yu Chang to 2nd.",0,0,3,66,"top",9,"2026-03-05T05:22:20.215Z","2026-03-05T05:23:08.250Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,644375,"Kungkuan Giljegiljaw","/api/v1/people/644375","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","RISP",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",86.6,79.1,14,0.91,0.4375,8.3913,25.7909,-30.4499,11.8617,1.0882,0.1928,0.8542,-13.9609,-125.2979,-2.9171,4.301,50.0041,4.5268,18.8246,27.6,8.4,24,1818,89,NA,NA,NA,NA,NA,NA,FALSE,-35.5,1.4,-18.2,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",1,"2026-03-05T05:22:22.019Z","2026-03-05T05:22:25.050Z",TRUE,"pitch","41c52ca2-0988-3eaf-8f07-446a5eb8fd24",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.165,1.598,NA,136.57,208.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Kungkuan Giljegiljaw singles on a ground ball to left fielder Chris Burke. Yu Chang to 2nd.",0,0,3,66,"top",9,"2026-03-05T05:22:20.215Z","2026-03-05T05:23:08.250Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,644375,"Kungkuan Giljegiljaw","/api/v1/people/644375","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","RISP",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",81.6,74.7,13,0.86,0.465,6.453,22.9411,-38.8099,10.6574,-4.7213,-0.5134,1.1184,-14.2835,-117.8949,0.5236,4.2461,50.0047,4.4826,14.966,18,12,24,1923,74,NA,NA,NA,NA,NA,NA,FALSE,-49.8,-8,-15.7,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",0,"2026-03-05T05:22:17.699Z","2026-03-05T05:22:22.019Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Kungkuan Giljegiljaw replaces Nien-Ting Wu.","Offensive Substitution",0,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,644375,"/api/v1/people/644375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","501","66","atBat","Single","single","Kungkuan Giljegiljaw singles on a ground ball to left fielder Chris Burke. Yu Chang to 2nd.",0,0,3,66,"top",9,"2026-03-05T05:22:20.215Z","2026-03-05T05:23:08.250Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,644375,"Kungkuan Giljegiljaw","/api/v1/people/644375","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","RISP",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,809006,"/api/v1/people/809006",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",3,"2026-03-05T05:20:43.822Z","2026-03-05T05:20:53.975Z",TRUE,"pitch","7ecc66c0-af81-3339-a7e6-ec680fef7434",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,1,NA,NA,3.41,1.61,NA,88.55,174.47,"ground_ball","medium","5",103.34,168.31,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Field Error","field_error","Chinese Taipei challenged (play at 1st), call on the field was overturned: Yu Chang reaches on a throwing error by third baseman Curtis Mead.",0,0,3,65,"top",9,"2026-03-05T05:19:57.523Z","2026-03-05T05:20:53.975Z",TRUE,FALSE,TRUE,FALSE,0,1,2,1,644374,"Yu Chang","/api/v1/people/644374","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",81.3,74.4,6,0.92,0.4649,6.5301,22.0192,-36.4188,10.5093,-3.0157,0.7463,2.3817,-11.8665,-117.738,3.0637,4.4825,50.0049,4.4303,14.7809,19.2,10.8,24,2233,76,87.4,-10,13,NA,NA,NA,FALSE,-46.1,-4.3,-16.2,NA,NA,NA,NA,NA,NA,FALSE,TRUE,644374,"Yu Chang","/api/v1/people/644374",NA,NA,NA,NA,NA,NA,TRUE,FALSE,"MF",791
788120,"2026-03-05",2,"2026-03-05T05:20:28.579Z","2026-03-05T05:20:31.579Z",TRUE,"pitch","4f408220-9925-3232-a930-60f60cf83e81",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.41,1.61,NA,95.67,165.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Field Error","field_error","Chinese Taipei challenged (play at 1st), call on the field was overturned: Yu Chang reaches on a throwing error by third baseman Curtis Mead.",0,0,3,65,"top",9,"2026-03-05T05:19:57.523Z","2026-03-05T05:20:53.975Z",TRUE,FALSE,TRUE,FALSE,0,1,2,1,644374,"Yu Chang","/api/v1/people/644374","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",87.4,79.5,6,0.91,0.433,6.7602,26.7057,-25.4797,11.5877,4.1342,0.5596,2.7005,-12.9802,-126.6611,0.1337,4.2535,50.0032,4.6903,18.7646,32.4,7.2,24,1972,93,NA,NA,NA,NA,NA,NA,FALSE,-28.4,7.8,-17.9,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",1,"2026-03-05T05:20:17.015Z","2026-03-05T05:20:22.144Z",TRUE,"pitch","bd63fde8-8dbd-38f6-8390-b5e3312bbd08",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.41,1.61,NA,62.97,199.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Field Error","field_error","Chinese Taipei challenged (play at 1st), call on the field was overturned: Yu Chang reaches on a throwing error by third baseman Curtis Mead.",0,0,3,65,"top",9,"2026-03-05T05:19:57.523Z","2026-03-05T05:20:53.975Z",TRUE,FALSE,TRUE,FALSE,0,1,2,1,644374,"Yu Chang","/api/v1/people/644374","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",81.7,74.4,14,0.87,0.4638,8.0044,24.8492,-40.1588,7.8382,-5.6642,1.4175,1.4527,-9.394,-118.5671,1.5587,4.4316,50.0047,4.4802,11.047,13.2,12,24,2089,79,NA,NA,NA,NA,NA,NA,FALSE,-51,-9.5,-11.6,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788120,"2026-03-05",0,"2026-03-05T05:20:05.515Z","2026-03-05T05:20:08.539Z",TRUE,"pitch","0649ebd1-9067-36d5-abd6-f26dfba75250",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.41,1.61,NA,135.7,195.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Field Error","field_error","Chinese Taipei challenged (play at 1st), call on the field was overturned: Yu Chang reaches on a throwing error by third baseman Curtis Mead.",0,0,3,65,"top",9,"2026-03-05T05:19:57.523Z","2026-03-05T05:20:53.975Z",TRUE,FALSE,TRUE,FALSE,0,1,2,1,644374,"Yu Chang","/api/v1/people/644374","R","Right",626943,"Jon Kennedy","/api/v1/people/626943","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Chinese Taipei","Australia","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",81,74.1,7,0.91,0.4682,6.5019,22.6696,-38.2362,9.2765,-4.3766,-0.4905,1.6098,-13.8108,-117.1099,1.5634,4.2852,50.0033,4.5174,12.8527,15.6,12,24,2082,73,NA,NA,NA,NA,NA,NA,FALSE,-49.4,-7.1,-13.3,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
