game_pk,game_date,index,startTime,endTime,isPitch,type,playId,pitchNumber,details.description,details.event,details.awayScore,details.homeScore,details.isScoringPlay,details.hasReview,details.code,details.ballColor,details.isInPlay,details.isStrike,details.isBall,details.call.code,details.call.description,count.balls.start,count.strikes.start,count.outs.start,player.id,player.link,pitchData.strikeZoneTop,pitchData.strikeZoneBottom,details.fromCatcher,pitchData.coordinates.x,pitchData.coordinates.y,hitData.trajectory,hitData.hardness,hitData.location,hitData.coordinates.coordX,hitData.coordinates.coordY,actionPlayId,details.eventType,details.runnerGoing,position.code,position.name,position.type,position.abbreviation,battingOrder,atBatIndex,result.type,result.event,result.eventType,result.description,result.rbi,result.awayScore,result.homeScore,about.atBatIndex,about.halfInning,about.inning,about.startTime,about.endTime,about.isComplete,about.isScoringPlay,about.hasReview,about.hasOut,about.captivatingIndex,count.balls.end,count.strikes.end,count.outs.end,matchup.batter.id,matchup.batter.fullName,matchup.batter.link,matchup.batSide.code,matchup.batSide.description,matchup.pitcher.id,matchup.pitcher.fullName,matchup.pitcher.link,matchup.pitchHand.code,matchup.pitchHand.description,matchup.splits.batter,matchup.splits.pitcher,matchup.splits.menOnBase,batted.ball.result,home_team,home_level_id,home_level_name,home_parentOrg_id,home_parentOrg_name,home_league_id,home_league_name,away_team,away_level_id,away_level_name,away_parentOrg_id,away_parentOrg_name,away_league_id,away_league_name,batting_team,fielding_team,last.pitch.of.ab,pfxId,details.trailColor,details.type.code,details.type.description,pitchData.startSpeed,pitchData.endSpeed,pitchData.zone,pitchData.typeConfidence,pitchData.plateTime,pitchData.extension,pitchData.coordinates.aY,pitchData.coordinates.aZ,pitchData.coordinates.pfxX,pitchData.coordinates.pfxZ,pitchData.coordinates.pX,pitchData.coordinates.pZ,pitchData.coordinates.vX0,pitchData.coordinates.vY0,pitchData.coordinates.vZ0,pitchData.coordinates.x0,pitchData.coordinates.y0,pitchData.coordinates.z0,pitchData.coordinates.aX,pitchData.breaks.breakAngle,pitchData.breaks.breakLength,pitchData.breaks.breakY,pitchData.breaks.spinRate,pitchData.breaks.spinDirection,hitData.launchSpeed,hitData.launchAngle,hitData.totalDistance,injuryType,umpire.id,umpire.link,details.isOut,pitchData.breaks.breakVertical,pitchData.breaks.breakVerticalInduced,pitchData.breaks.breakHorizontal,details.disengagementNum,isBaseRunningPlay,isSubstitution,details.violation.type,details.violation.description,details.violation.player.id,details.violation.player.fullName,replacedPlayer.id,replacedPlayer.link,base,result.isOut,about.isTopInning,matchup.postOnFirst.id,matchup.postOnFirst.fullName,matchup.postOnFirst.link,matchup.postOnThird.id,matchup.postOnThird.fullName,matchup.postOnThird.link,matchup.postOnSecond.id,matchup.postOnSecond.fullName,matchup.postOnSecond.link,reviewDetails.isOverturned,reviewDetails.inProgress,reviewDetails.reviewType,reviewDetails.challengeTeamId
788109,2026-03-08,0,2026-03-08T12:42:46.784Z,2026-03-08T12:42:55.420Z,TRUE,pitch,3320a2a7-bdba-36dd-baf6-1f967fd236c0,1,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",0,0,2,NA,NA,3.344,1.688,NA,131.85,193.63,ground_ball,medium,5,115,173.89,NA,NA,NA,NA,NA,NA,NA,NA,73,atBat,Groundout,field_out,"Robbie Perkins grounds out, third baseman Kazuma Okamoto to first baseman Shugo Maki.",0,3,4,73,top,9,2026-03-08T12:42:42.342Z,2026-03-08T12:42:55.420Z,TRUE,FALSE,FALSE,TRUE,0,0,0,3,564434,Robbie Perkins,/api/v1/people/564434,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.5,85.5,7,2,0.4009,7.7844,33.0103,-21.7127,-12.2395,5.5473,-0.3895,1.6723,10.0792,-137.1281,-2.6769,-2.5399,50.006,4.1583,-23.0929,43.2,6,24,2259,248,81.4,-49,3,NA,NA,NA,TRUE,-21.5,9.6,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,4,2026-03-08T12:41:57.041Z,2026-03-08T12:42:21.817Z,TRUE,pitch,c20f0bf9-89e4-3461-8fc1-a4c8533cd0ad,5,"In play, run(s)",NA,NA,NA,NA,FALSE,E,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,E,"In play, run(s)",2,2,2,NA,NA,3.388,1.71,NA,129.79,169.28,line_drive,medium,78,59.67,61.86,NA,NA,NA,NA,NA,NA,NA,NA,72,atBat,Home Run,home_run,Rixon Wingrove homers (1) on a line drive to left center field.,1,3,4,72,top,9,2026-03-08T12:40:25.714Z,2026-03-08T12:42:21.817Z,TRUE,TRUE,FALSE,FALSE,38,2,2,2,678534,Rixon Wingrove,/api/v1/people/678534,L,Left,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_LHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.7,85.6,4,2,0.3997,7.5208,33.172,-20.5177,-12.3348,6.1439,-0.3356,2.5742,9.8918,-137.5334,-0.7028,-2.3931,50.0057,4.2366,-23.4127,45.6,6,24,2418,241,104.7,22,377,NA,NA,NA,FALSE,-19.7,11.2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,3,2026-03-08T12:41:39.147Z,2026-03-08T12:41:44.744Z,TRUE,pitch,3da1e5cb-29bc-3cd2-86e7-82b360f6853f,4,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,2,2,2,NA,NA,3.388,1.71,NA,136.68,195.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,atBat,Home Run,home_run,Rixon Wingrove homers (1) on a line drive to left center field.,1,3,4,72,top,9,2026-03-08T12:40:25.714Z,2026-03-08T12:42:21.817Z,TRUE,TRUE,FALSE,FALSE,38,2,2,2,678534,Rixon Wingrove,/api/v1/people/678534,L,Left,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_LHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,false,NA,"rgba(119, 0, 152, 1.0)",FS,Splitter,86.3,78.7,13,2,0.4373,7.8111,26.8165,-33.0449,-4.676,-0.5502,-0.5163,1.6049,6.6701,-125.5281,0.5122,-2.6076,50.0022,4.1013,-7.4185,10.8,8.4,24,752,287,NA,NA,NA,NA,NA,NA,FALSE,-37.6,-0.6,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,2,2026-03-08T12:41:14.926Z,2026-03-08T12:41:18.361Z,TRUE,pitch,52908a60-566d-3a29-b68d-4fcdf6ff082b,3,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,1,2,2,NA,NA,3.388,1.71,NA,128.65,169.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,atBat,Home Run,home_run,Rixon Wingrove homers (1) on a line drive to left center field.,1,3,4,72,top,9,2026-03-08T12:40:25.714Z,2026-03-08T12:42:21.817Z,TRUE,TRUE,FALSE,FALSE,38,2,2,2,678534,Rixon Wingrove,/api/v1/people/678534,L,Left,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_LHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,false,NA,"rgba(119, 0, 152, 1.0)",FS,Splitter,85.1,77.6,14,2,0.4445,7.9231,26.1449,-36.8472,-8.3763,-3.0403,0.3846,1.5266,9.4069,-123.5425,1.0861,-2.3961,50.0056,4.1945,-12.8646,16.8,9.6,24,778,273,NA,NA,NA,NA,NA,NA,FALSE,-43.1,-4.9,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,1,2026-03-08T12:40:56.955Z,2026-03-08T12:41:00.002Z,TRUE,pitch,0732f17b-7c0d-36ab-b718-3b4c60b98d58,2,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,1,1,2,NA,NA,3.388,1.71,NA,115.78,194.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,atBat,Home Run,home_run,Rixon Wingrove homers (1) on a line drive to left center field.,1,3,4,72,top,9,2026-03-08T12:40:25.714Z,2026-03-08T12:42:21.817Z,TRUE,TRUE,FALSE,FALSE,38,2,2,2,678534,Rixon Wingrove,/api/v1/people/678534,L,Left,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_LHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.2,85.3,4,2,0.4014,7.5919,32.4227,-20.079,-10.501,6.428,-0.3058,2.5699,9.5463,-136.8634,-0.5629,-2.488,50.006100000000004,4.1632,-19.7693,40.8,6,24,2274,242,NA,NA,NA,NA,NA,NA,FALSE,-19.4,11.8,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,0,2026-03-08T12:40:43.084Z,2026-03-08T12:40:47.976Z,TRUE,pitch,a22cc4d5-c912-3284-8e9b-9a1b1896c082,1,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,0,2,NA,NA,3.388,1.71,NA,182.71,162.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,atBat,Home Run,home_run,Rixon Wingrove homers (1) on a line drive to left center field.,1,3,4,72,top,9,2026-03-08T12:40:25.714Z,2026-03-08T12:42:21.817Z,TRUE,TRUE,FALSE,FALSE,38,2,2,2,678534,Rixon Wingrove,/api/v1/people/678534,L,Left,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_LHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.6,85.6,11,2,0.3994,7.4213,33.3197,-18.8697,-9.8064,7.002,-1.7239,2.8303,5.6173,-137.6409,-0.3105,-2.5277,50.0034,4.2332,-18.6333,42,6,24,2252,240,NA,NA,NA,NA,NA,NA,FALSE,-18,12.8,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,2,2026-03-08T12:40:14.853Z,2026-03-08T12:40:20.187Z,TRUE,pitch,c9b03cb4-5be5-35bf-bc6e-cd13a26dd9f2,3,Swinging Strike,NA,NA,NA,NA,FALSE,S,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,S,Swinging Strike,0,3,1,NA,NA,3.299,1.665,NA,107.63,175.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,atBat,Strikeout,strikeout,Jarryd Dale strikes out swinging.,0,2,4,71,top,9,2026-03-08T12:39:18.584Z,2026-03-08T12:40:20.187Z,TRUE,FALSE,FALSE,TRUE,14,0,3,2,673062,Jarryd Dale,/api/v1/people/673062,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,true,NA,"rgba(119, 0, 152, 1.0)",FS,Splitter,86,78.5,6,2,0.4388,7.7289,25.7566,-33.7089,-4.4396,-0.9738,0.2459,2.361,8.0592,-124.9344,2.1463,-2.4484,50.0024,4.2661,-7.0011,9.6,8.4,24,604,289,NA,NA,NA,NA,NA,NA,TRUE,-38.2,-1,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,1,2026-03-08T12:39:53.837Z,2026-03-08T12:39:58.573Z,TRUE,pitch,762cf7bf-2b4d-3f8f-be09-9b12c6a337b6,2,Swinging Strike,NA,NA,NA,NA,FALSE,S,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,S,Swinging Strike,0,2,1,NA,NA,3.299,1.665,NA,136.9,138.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,atBat,Strikeout,strikeout,Jarryd Dale strikes out swinging.,0,2,4,71,top,9,2026-03-08T12:39:18.584Z,2026-03-08T12:40:20.187Z,TRUE,FALSE,FALSE,TRUE,14,0,3,2,673062,Jarryd Dale,/api/v1/people/673062,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,93.5,84.3,11,2,0.405,7.6678,32.5089,-16.8896,-9.3452,8.2703,-0.5221,3.7183,8.4263,-135.7773,1.6617,-2.4668,50.0047,4.2809,-17.2761,43.2,4.8,24,2205,241,NA,NA,NA,NA,NA,NA,FALSE,-16.1,15.6,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,0,2026-03-08T12:39:39.043Z,2026-03-08T12:39:42.856Z,TRUE,pitch,d92a93cb-5e8a-3864-a581-e9ff49fcce9b,1,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,0,1,1,NA,NA,3.299,1.665,NA,89.42,167.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,atBat,Strikeout,strikeout,Jarryd Dale strikes out swinging.,0,2,4,71,top,9,2026-03-08T12:39:18.584Z,2026-03-08T12:40:20.187Z,TRUE,FALSE,FALSE,TRUE,14,0,3,2,673062,Jarryd Dale,/api/v1/people/673062,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.1,85.4,6,2,0.402,7.6875,31.1021,-19.0715,-10.4781,6.9788,0.7235,2.6279,12.1085,-136.4389,-0.7903,-2.4187,50.006100000000004,4.2403,-19.6832,40.8,6,24,2328,242,NA,NA,NA,NA,NA,NA,FALSE,-18.6,12.6,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,1,2026-03-08T12:38:54.312Z,2026-03-08T12:39:20.859Z,TRUE,pitch,67c1c10f-46c1-34d4-92ce-f054e1d5cfaa,2,"In play, run(s)",NA,NA,NA,NA,FALSE,E,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,E,"In play, run(s)",1,0,1,NA,NA,3.121,1.575,NA,107.31,182.25,fly_ball,medium,89,182.08,43.6,NA,NA,NA,NA,NA,NA,NA,NA,70,atBat,Home Run,home_run,Alex Hall homers (2) on a fly ball to right center field.,1,2,4,70,top,9,2026-03-08T12:38:23.830Z,2026-03-08T12:39:20.859Z,TRUE,TRUE,FALSE,FALSE,38,1,0,1,673064,Alex Hall,/api/v1/people/673064,L,Left,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_LHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,95.3,86.2,8,2,0.3975,7.5298,33.441,-20.2535,-10.8877,6.2115,0.2542,2.0938,11.0015,-138.2869,-1.9601,-2.3785,50.004,4.1835,-20.8985,42,6,24,2299,244,107.9,29,408,NA,NA,NA,FALSE,-19.6,10.9,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,0,2026-03-08T12:38:41.244Z,2026-03-08T12:38:44.752Z,TRUE,pitch,783d69f7-dd86-3a6b-a6c1-5ba75bd0a8dd,1,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,0,1,NA,NA,3.121,1.575,NA,190.98,165.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,atBat,Home Run,home_run,Alex Hall homers (2) on a fly ball to right center field.,1,2,4,70,top,9,2026-03-08T12:38:23.830Z,2026-03-08T12:39:20.859Z,TRUE,TRUE,FALSE,FALSE,38,1,0,1,673064,Alex Hall,/api/v1/people/673064,L,Left,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_LHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,false,NA,"rgba(119, 0, 152, 1.0)",FS,Splitter,84.6,77.2,11,2,0.4458,7.5375,25.5097,-37.1798,-5.7097,-3.2787,-1.9408,2.7313,3.4044,-123.1017,3.813,-2.6032,50.0022,4.3191,-8.7216,12,9.6,24,581,297,NA,NA,NA,NA,NA,NA,FALSE,-43.1,-4.7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,11,2026-03-08T12:38:07.693Z,2026-03-08T12:38:17.063Z,TRUE,pitch,cc91e509-7819-3a86-bf59-0663115f70f5,5,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",1,2,0,NA,NA,3.388,1.71,NA,117.18,209.77,ground_ball,medium,6,111.39,155.14,NA,NA,NA,NA,NA,NA,NA,NA,69,atBat,Groundout,field_out,"Aaron Whitefield grounds out, shortstop Sosuke Genda to first baseman Shugo Maki.",0,1,4,69,top,9,2026-03-08T12:36:49.279Z,2026-03-08T12:38:17.063Z,TRUE,FALSE,FALSE,TRUE,0,1,2,1,664334,Aaron Whitefield,/api/v1/people/664334,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,NA,NA,"rgba(119, 0, 152, 1.0)",FS,Splitter,86.1,78.6,14,2,0.4391,7.6973,26.8564,-38.5251,-4.6364,-4.0336,-0.0046,1.0743,7.6409,-125.078,0.1144,-2.5064,50.0039,4.2051,-7.2958,8.4,9.6,24,605,292,74.9,4,78,NA,NA,NA,TRUE,-44.2,-7,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,10,2026-03-08T12:37:46.618Z,2026-03-08T12:37:50.499Z,TRUE,pitch,6fc16d6b-f913-368b-8598-38e7c2b1c1ea,4,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,1,2,0,NA,NA,3.388,1.71,NA,150.04,190.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,atBat,Groundout,field_out,"Aaron Whitefield grounds out, shortstop Sosuke Genda to first baseman Shugo Maki.",0,1,4,69,top,9,2026-03-08T12:36:49.279Z,2026-03-08T12:38:17.063Z,TRUE,FALSE,FALSE,TRUE,0,1,2,1,664334,Aaron Whitefield,/api/v1/people/664334,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,NA,NA,"rgba(119, 0, 152, 1.0)",FS,Splitter,85.4,78.5,13,2,0.4404,7.9317,24.53,-36.9949,-4.7925,-3.071,-0.8667,1.7719,5.4703,-124.291,1.5654,-2.4718,50.0054,4.2022,-7.5115,9.6,9.6,24,608,288,NA,NA,NA,NA,NA,NA,FALSE,-42.4,-4.9,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,8,2026-03-08T12:37:24.618Z,2026-03-08T12:37:28.977Z,TRUE,pitch,e33a70ca-bde5-31f6-a171-b4cb94535b59,3,Swinging Strike,NA,NA,NA,NA,FALSE,S,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,S,Swinging Strike,1,2,0,NA,NA,3.388,1.71,NA,113.03,203.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,atBat,Groundout,field_out,"Aaron Whitefield grounds out, shortstop Sosuke Genda to first baseman Shugo Maki.",0,1,4,69,top,9,2026-03-08T12:36:49.279Z,2026-03-08T12:38:17.063Z,TRUE,FALSE,FALSE,TRUE,0,1,2,1,664334,Aaron Whitefield,/api/v1/people/664334,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,NA,NA,"rgba(119, 0, 152, 1.0)",FS,Splitter,86.4,78.9,14,2,0.4372,7.841,26.4649,-34.8529,-5.9536,-1.6884,0.1041,1.3086,8.4916,-125.4936,0.0624,-2.5569,50.0023,4.1331,-9.4537,12,9.6,24,913,264,NA,NA,NA,NA,NA,NA,FALSE,-39.7,-2.8,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,7,2026-03-08T12:37:04.403Z,2026-03-08T12:37:07.403Z,TRUE,pitch,cfd4e842-ffc0-36d4-90eb-f94d3880ce70,2,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,1,1,0,NA,NA,3.388,1.71,NA,92.86,195.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,atBat,Groundout,field_out,"Aaron Whitefield grounds out, shortstop Sosuke Genda to first baseman Shugo Maki.",0,1,4,69,top,9,2026-03-08T12:36:49.279Z,2026-03-08T12:38:17.063Z,TRUE,FALSE,FALSE,TRUE,0,1,2,1,664334,Aaron Whitefield,/api/v1/people/664334,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,NA,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.1,85.2,14,2,0.4026,7.6032,32.3552,-17.7635,-10.8396,7.7019,0.6333,1.6045,12.0191,-136.4829,-3.7492,-2.4366,50.0032,4.2327,-20.2823,43.2,6,24,2291,243,NA,NA,NA,NA,NA,NA,FALSE,-18.1,13.2,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788109,2026-03-08,6,2026-03-08T12:36:51.172Z,2026-03-08T12:36:55.076Z,TRUE,pitch,1f3deb92-4f08-3239-ac2e-46eb0903d483,1,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,0,0,NA,NA,3.388,1.71,NA,57.97,170.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,atBat,Groundout,field_out,"Aaron Whitefield grounds out, shortstop Sosuke Genda to first baseman Shugo Maki.",0,1,4,69,top,9,2026-03-08T12:36:49.279Z,2026-03-08T12:38:17.063Z,TRUE,FALSE,FALSE,TRUE,0,1,2,1,664334,Aaron Whitefield,/api/v1/people/664334,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Australia,Japan,NA,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.8,85.6,14,2,0.4003,7.7028,32.7765,-16.5257,-11.0501,8.2688,1.5486,2.5181,14.4461,-137.2678,-1.9638,-2.3675,50.0011,4.3784,-20.9085,45.6,4.8,24,2316,237,NA,NA,NA,NA,NA,NA,FALSE,-16.3,14.6,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
