game_pk,game_date,index,startTime,endTime,isPitch,type,playId,pitchNumber,details.description,details.event,details.awayScore,details.homeScore,details.isScoringPlay,details.hasReview,details.code,details.ballColor,details.isInPlay,details.isStrike,details.isBall,details.call.code,details.call.description,count.balls.start,count.strikes.start,count.outs.start,player.id,player.link,pitchData.strikeZoneTop,pitchData.strikeZoneBottom,details.fromCatcher,pitchData.coordinates.x,pitchData.coordinates.y,hitData.trajectory,hitData.hardness,hitData.location,hitData.coordinates.coordX,hitData.coordinates.coordY,actionPlayId,details.eventType,details.runnerGoing,position.code,position.name,position.type,position.abbreviation,battingOrder,atBatIndex,result.type,result.event,result.eventType,result.description,result.rbi,result.awayScore,result.homeScore,about.atBatIndex,about.halfInning,about.inning,about.startTime,about.endTime,about.isComplete,about.isScoringPlay,about.hasReview,about.hasOut,about.captivatingIndex,count.balls.end,count.strikes.end,count.outs.end,matchup.batter.id,matchup.batter.fullName,matchup.batter.link,matchup.batSide.code,matchup.batSide.description,matchup.pitcher.id,matchup.pitcher.fullName,matchup.pitcher.link,matchup.pitchHand.code,matchup.pitchHand.description,matchup.splits.batter,matchup.splits.pitcher,matchup.splits.menOnBase,batted.ball.result,home_team,home_level_id,home_level_name,home_parentOrg_id,home_parentOrg_name,home_league_id,home_league_name,away_team,away_level_id,away_level_name,away_parentOrg_id,away_parentOrg_name,away_league_id,away_league_name,batting_team,fielding_team,last.pitch.of.ab,pfxId,details.trailColor,details.type.code,details.type.description,pitchData.startSpeed,pitchData.endSpeed,pitchData.zone,pitchData.typeConfidence,pitchData.plateTime,pitchData.extension,pitchData.coordinates.aY,pitchData.coordinates.aZ,pitchData.coordinates.pfxX,pitchData.coordinates.pfxZ,pitchData.coordinates.pX,pitchData.coordinates.pZ,pitchData.coordinates.vX0,pitchData.coordinates.vY0,pitchData.coordinates.vZ0,pitchData.coordinates.x0,pitchData.coordinates.y0,pitchData.coordinates.z0,pitchData.coordinates.aX,pitchData.breaks.breakAngle,pitchData.breaks.breakLength,pitchData.breaks.breakY,pitchData.breaks.spinRate,pitchData.breaks.spinDirection,hitData.launchSpeed,hitData.launchAngle,hitData.totalDistance,injuryType,umpire.id,umpire.link,details.isOut,pitchData.strikeZoneWidth,pitchData.strikeZoneDepth,pitchData.breaks.breakVertical,pitchData.breaks.breakVerticalInduced,pitchData.breaks.breakHorizontal,details.disengagementNum,isBaseRunningPlay,isSubstitution,details.violation.type,details.violation.description,details.violation.player.id,details.violation.player.fullName,replacedPlayer.id,replacedPlayer.link,result.isOut,about.isTopInning,matchup.postOnFirst.id,matchup.postOnFirst.fullName,matchup.postOnFirst.link,matchup.postOnSecond.id,matchup.postOnSecond.fullName,matchup.postOnSecond.link,matchup.postOnThird.id,matchup.postOnThird.fullName,matchup.postOnThird.link,reviewDetails.isOverturned,reviewDetails.inProgress,reviewDetails.reviewType,reviewDetails.challengeTeamId
788108,2026-03-07,1,2026-03-07T19:53:10.077Z,2026-03-07T19:53:41.646Z,TRUE,pitch,1ae3a1db-0d68-3f25-a84a-b956284c9ab4,1,"In play, run(s)",NA,NA,NA,NA,FALSE,E,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,E,"In play, run(s)",0,0,2,NA,NA,2.985,1.506,NA,131.17,176.16,fly_ball,medium,89,186.23,43.62,NA,NA,NA,NA,NA,NA,NA,NA,83,atBat,Home Run,home_run,Ozzie Albies homers (1) on a fly ball to right center field. Ceddanne Rafaela scores. Xander Bogaerts scores.,3,3,4,83,bottom,9,2026-03-07T19:53:07.851Z,2026-03-07T19:53:41.646Z,TRUE,TRUE,FALSE,FALSE,65,0,0,2,645277,Ozzie Albies,/api/v1/people/645277,L,Left,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_LHB,Empty,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,NA,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.5,85.2,4,0.94,0.401,5.8561,34.3289,-12.0564,-5.0587,10.6831,-0.3717,2.3193,6.5069,-137.316,-5.5791,-2.1304,50.006100000000004,5.2194,-9.5294,30,3.6,24,2455,219,106.1,28,411,NA,NA,NA,FALSE,17,8.5,-13,18.1,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,0,2026-03-07T19:52:17.007Z,2026-03-07T19:53:10.077Z,FALSE,action,NA,NA,Mound Visit.,Mound Visit,3,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mound_visit,NA,NA,NA,NA,NA,NA,83,atBat,Home Run,home_run,Ozzie Albies homers (1) on a fly ball to right center field. Ceddanne Rafaela scores. Xander Bogaerts scores.,3,3,4,83,bottom,9,2026-03-07T19:53:07.851Z,2026-03-07T19:53:41.646Z,TRUE,TRUE,FALSE,FALSE,65,0,0,2,645277,Ozzie Albies,/api/v1/people/645277,L,Left,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_LHB,Empty,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,2,2026-03-07T19:51:28.277Z,2026-03-07T19:51:43.115Z,TRUE,pitch,172b7694-acb5-3ac0-b097-8b8a599b3b10,3,"In play, no out",NA,NA,NA,NA,FALSE,D,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,D,"In play, no out",1,1,2,NA,NA,3.285,1.658,NA,131,189.86,ground_ball,medium,7,60.24,134.46,NA,NA,NA,NA,NA,NA,NA,NA,82,atBat,Double,double,Xander Bogaerts doubles (1) on a ground ball to left fielder Chase Dawson. Ceddanne Rafaela to 3rd.,0,3,1,82,bottom,9,2026-03-07T19:50:42.061Z,2026-03-07T19:51:43.115Z,TRUE,FALSE,FALSE,FALSE,34,1,1,2,593428,Xander Bogaerts,/api/v1/people/593428,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,RISP,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,true,NA,"rgba(0, 0, 254, 1.0)",SL,Slider,86.7,78.9,7,0.88,0.4361,5.6911,28.3411,-31.5761,-1.3007,0.3717,-0.3672,1.8119,5.5975,-126.1362,-2.0808,-2.4569,50.0008,5.2215,-2.0731,1.2,8.4,24,2211,338,72.2,-4,21,NA,NA,NA,FALSE,17,8.5,-36.4,0.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,593428,Xander Bogaerts,/api/v1/people/593428,678882,Ceddanne Rafaela,/api/v1/people/678882,NA,NA,NA,NA
788108,2026-03-07,1,2026-03-07T19:51:08.789Z,2026-03-07T19:51:13.124Z,TRUE,pitch,6c4d587d-1124-3168-9d29-0f4124016eb2,2,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,1,1,2,NA,NA,3.285,1.658,NA,155.11,158.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,atBat,Double,double,Xander Bogaerts doubles (1) on a ground ball to left fielder Chase Dawson. Ceddanne Rafaela to 3rd.,0,3,1,82,bottom,9,2026-03-07T19:50:42.061Z,2026-03-07T19:51:43.115Z,TRUE,FALSE,FALSE,FALSE,34,1,1,2,593428,Xander Bogaerts,/api/v1/people/593428,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,RISP,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,93.9,84.6,11,0.96,0.4032,5.7257,34.289,-10.7675,-2.5532,11.4954,-0.9997,2.9684,3.948,-136.6171,-4.3429,-2.1418,50.0001,5.3381,-4.7537,18,2.4,24,2453,205,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-11.5,19.9,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,0,2026-03-07T19:50:50.278Z,2026-03-07T19:50:53.571Z,TRUE,pitch,4cdcd2ba-aba0-35b8-b7cc-c620706c5b86,1,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,0,2,NA,NA,3.285,1.658,NA,91.97,217.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,atBat,Double,double,Xander Bogaerts doubles (1) on a ground ball to left fielder Chase Dawson. Ceddanne Rafaela to 3rd.,0,3,1,82,bottom,9,2026-03-07T19:50:42.061Z,2026-03-07T19:51:43.115Z,TRUE,FALSE,FALSE,FALSE,34,1,1,2,593428,Xander Bogaerts,/api/v1/people/593428,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,RISP,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,false,NA,"rgba(0, 0, 254, 1.0)",SL,Slider,86.6,78.9,14,0.9,0.4375,5.7447,28.5674,-31.0647,-1.2605,0.7011,0.6566,0.7782,7.8545,-125.8213,-4.3388,-2.359,50.0031,5.0786,-1.9959,1.2,8.4,24,2155,344,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-36.6,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,2,2026-03-07T19:50:06.148Z,2026-03-07T19:50:15.971Z,TRUE,pitch,33bd1d4b-bf8d-32ce-a600-4bb683aeb6be,3,"In play, no out",NA,NA,NA,NA,FALSE,D,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,D,"In play, no out",0,2,2,NA,NA,3.11,1.57,NA,84.38,183.08,line_drive,medium,8,152,92.54,NA,NA,NA,NA,NA,NA,NA,NA,81,atBat,Single,single,Ceddanne Rafaela singles on a line drive to center fielder Ismael Munguia.,0,3,1,81,bottom,9,2026-03-07T19:49:15.268Z,2026-03-07T19:50:15.971Z,TRUE,FALSE,FALSE,FALSE,33,0,2,2,678882,Ceddanne Rafaela,/api/v1/people/678882,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,Men_On,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,95.5,86.1,14,0.97,0.3973,5.8254,35.3292,-9.0992,-3.6142,12.0324,0.8557,2.0631,8.2673,-138.6524,-7.2551,-1.7154,50.0064,5.3455,-6.9341,24,2.4,24,2467,204,76.7,22,247,NA,NA,NA,FALSE,17,8.5,-10.3,20.2,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,678882,Ceddanne Rafaela,/api/v1/people/678882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,1,2026-03-07T19:49:43.218Z,2026-03-07T19:49:47.553Z,TRUE,pitch,12435556-dcd4-31c3-a401-b5ff5bebd7d6,2,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,0,2,2,NA,NA,3.11,1.57,NA,59.96,177.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,atBat,Single,single,Ceddanne Rafaela singles on a line drive to center fielder Ismael Munguia.,0,3,1,81,bottom,9,2026-03-07T19:49:15.268Z,2026-03-07T19:50:15.971Z,TRUE,FALSE,FALSE,FALSE,33,0,2,2,678882,Ceddanne Rafaela,/api/v1/people/678882,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,Men_On,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,95,85.9,14,0.97,0.3992,5.8492,33.6792,-10.5307,-3.5875,11.3803,1.4964,2.2726,10.3709,-137.779,-6.194,-1.8685,50.0052,5.2783,-6.8256,20.4,2.4,24,2473,209,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-11.5,19.2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,0,2026-03-07T19:49:22.136Z,2026-03-07T19:49:25.428Z,TRUE,pitch,3f2b94db-3aed-34aa-b2b6-620ed5634820,1,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,0,1,2,NA,NA,3.11,1.57,NA,120.55,162.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,atBat,Single,single,Ceddanne Rafaela singles on a line drive to center fielder Ismael Munguia.,0,3,1,81,bottom,9,2026-03-07T19:49:15.268Z,2026-03-07T19:50:15.971Z,TRUE,FALSE,FALSE,FALSE,33,0,2,2,678882,Ceddanne Rafaela,/api/v1/people/678882,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,Men_On,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,95,86.2,2,0.95,0.3977,5.7788,32.8426,-11.4064,-5.1991,10.829,-0.0931,2.826,7.4032,-138.1112,-4.6451,-2.1419,50.0045,5.3068,-9.9729,33.6,3.6,24,2421,210,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-11.8,18.7,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,4,2026-03-07T19:48:40.144Z,2026-03-07T19:48:50.471Z,TRUE,pitch,ed14b332-1603-3372-a45c-3fc64836367d,5,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",3,1,1,NA,NA,3.121,1.575,NA,127.4,179.83,fly_ball,medium,7,73.2,74.07,NA,NA,NA,NA,NA,NA,NA,NA,80,atBat,Flyout,field_out,Ray-Patrick Didder flies out to left fielder Chase Dawson.,0,3,1,80,bottom,9,2026-03-07T19:47:26.762Z,2026-03-07T19:48:50.471Z,TRUE,FALSE,FALSE,TRUE,0,3,1,2,642720,Ray-Patrick Didder,/api/v1/people/642720,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,Empty,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,93.6,84.7,5,0.94,0.4043,5.7193,32.6944,-13.305,-4.8643,10.1749,-0.2729,2.1834,6.9878,-136.0257,-5.449,-2.2554,50.0044,5.1518,-9.0228,26.4,3.6,24,2336,217,99.6,42,337,NA,NA,NA,TRUE,17,8.5,-14.3,17.3,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,3,2026-03-07T19:48:21.554Z,2026-03-07T19:48:25.267Z,TRUE,pitch,e7767294-1632-31e1-8831-c085403cfded,4,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,3,1,1,NA,NA,3.121,1.575,NA,75.88,152.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,atBat,Flyout,field_out,Ray-Patrick Didder flies out to left fielder Chase Dawson.,0,3,1,80,bottom,9,2026-03-07T19:47:26.762Z,2026-03-07T19:48:50.471Z,TRUE,FALSE,FALSE,TRUE,0,3,1,2,642720,Ray-Patrick Didder,/api/v1/people/642720,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,Empty,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,93.9,85.1,12,0.96,0.4031,5.743,32.2193,-12.4508,-3.5105,10.567,1.0788,3.1876,9.6653,-136.3075,-3.5264,-2.0697,50.0039,5.3681,-6.5546,18,3.6,24,2418,213,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-12.8,18.5,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,2,2026-03-07T19:48:03.593Z,2026-03-07T19:48:07.334Z,TRUE,pitch,c5c44f1e-a762-3699-ad17-4fecd8eb4b70,3,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,2,1,1,NA,NA,3.121,1.575,NA,94.56,191.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,atBat,Flyout,field_out,Ray-Patrick Didder flies out to left fielder Chase Dawson.,0,3,1,80,bottom,9,2026-03-07T19:47:26.762Z,2026-03-07T19:48:50.471Z,TRUE,FALSE,FALSE,TRUE,0,3,1,2,642720,Ray-Patrick Didder,/api/v1/people/642720,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,Empty,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.3,85.4,9,0.97,0.4018,5.8018,32.9668,-10.1852,-3.3057,11.7112,0.5886,1.7653,8.1987,-136.8449,-7.531,-2.0301,50.0057,5.268,-6.2085,19.2,2.4,24,2356,209,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-11.6,19.6,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,1,2026-03-07T19:47:47.576Z,2026-03-07T19:47:50.885Z,TRUE,pitch,a9fabbbf-324d-3481-b59f-13470ac031a1,2,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,1,1,1,NA,NA,3.121,1.575,NA,101.44,177.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,atBat,Flyout,field_out,Ray-Patrick Didder flies out to left fielder Chase Dawson.,0,3,1,80,bottom,9,2026-03-07T19:47:26.762Z,2026-03-07T19:48:50.471Z,TRUE,FALSE,FALSE,TRUE,0,3,1,2,642720,Ray-Patrick Didder,/api/v1/people/642720,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,Empty,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,false,NA,"rgba(0, 0, 254, 1.0)",SL,Slider,86.3,77.8,6,0.89,0.4401,5.8905,30.0623,-31.4565,-1.459,0.4615,0.4082,2.2829,7.1522,-125.4123,-0.8001,-2.316,50.0047,5.2177,-2.2791,1.2,8.4,24,2142,329,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-36.5,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,0,2026-03-07T19:47:32.390Z,2026-03-07T19:47:35.881Z,TRUE,pitch,8c3ddb08-b272-3277-bef9-288308fd0b61,1,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,0,1,NA,NA,3.121,1.575,NA,90.38,136.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,atBat,Flyout,field_out,Ray-Patrick Didder flies out to left fielder Chase Dawson.,0,3,1,80,bottom,9,2026-03-07T19:47:26.762Z,2026-03-07T19:48:50.471Z,TRUE,FALSE,FALSE,TRUE,0,3,1,2,642720,Ray-Patrick Didder,/api/v1/people/642720,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,Empty,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,95.2,86,12,0.96,0.3979,5.9408,34.0057,-13.215,-3.9996,9.9059,0.6985,3.7972,8.7326,-138.2481,-2.1596,-1.9975,50.0066,5.4875,-7.6591,21.6,3.6,24,2496,207,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-13,17.6,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,4,2026-03-07T19:46:59.586Z,2026-03-07T19:47:04.308Z,TRUE,pitch,94184efe-18b8-3c50-83bb-2cf9df66ca67,5,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,2,3,0,NA,NA,3.291,1.661,NA,97.48,162.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,atBat,Strikeout,strikeout,Druw Jones called out on strikes.,0,3,1,79,bottom,9,2026-03-07T19:45:44.363Z,2026-03-07T19:47:04.308Z,TRUE,FALSE,FALSE,TRUE,14,2,3,1,702258,Druw Jones,/api/v1/people/702258,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,Empty,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,true,NA,"rgba(0, 0, 254, 1.0)",SL,Slider,85.9,78.2,6,0.9,0.4401,5.6532,27.3825,-31.9131,-0.9423,0.1656,0.5122,2.8383,7.0511,-124.9068,0.07,-2.2363,50.0027,5.4547,-1.4764,0,8.4,24,2057,16,NA,NA,NA,NA,NA,NA,TRUE,17,8.5,-36.8,0.6,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,3,2026-03-07T19:46:42.259Z,2026-03-07T19:46:45.375Z,TRUE,pitch,b3f2cf66-30fa-3c96-80f7-1388037787e9,4,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,2,2,0,NA,NA,3.291,1.661,NA,55.44,209.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,atBat,Strikeout,strikeout,Druw Jones called out on strikes.,0,3,1,79,bottom,9,2026-03-07T19:45:44.363Z,2026-03-07T19:47:04.308Z,TRUE,FALSE,FALSE,TRUE,14,2,3,1,702258,Druw Jones,/api/v1/people/702258,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,Empty,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,false,NA,"rgba(0, 0, 254, 1.0)",SL,Slider,87.3,80.4,14,0.89,0.4321,5.8931,25.8678,-31.8822,-1.5526,0.1748,1.615,1.0736,10.4729,-126.7398,-3.6904,-2.3686,50.0004,5.0944,-2.5282,1.2,8.4,24,2160,355,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-36.4,-0.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788108,2026-03-07,2,2026-03-07T19:46:23.076Z,2026-03-07T19:46:26.865Z,TRUE,pitch,fd69845b-704f-3d95-838e-4a524b06bfa3,3,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,1,2,0,NA,NA,3.291,1.661,NA,136.68,166.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,atBat,Strikeout,strikeout,Druw Jones called out on strikes.,0,3,1,79,bottom,9,2026-03-07T19:45:44.363Z,2026-03-07T19:47:04.308Z,TRUE,FALSE,FALSE,TRUE,14,2,3,1,702258,Druw Jones,/api/v1/people/702258,R,Right,679752,Angel Obando,/api/v1/people/679752,R,Right,vs_RHP,vs_RHB,Empty,NA,Kingdom of the Netherlands,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Nicaragua,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Kingdom of the Netherlands,Nicaragua,false,NA,"rgba(0, 0, 254, 1.0)",SL,Slider,85.8,77.8,4,0.87,0.4412,5.6289,28.1865,-31.1712,-1.4121,0.6398,-0.5162,2.6921,4.8088,-124.7818,-0.4392,-2.296,50.0003,5.468,-2.1984,2.4,8.4,24,1994,296,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-36.2,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
